Product name,Product price
LG GN-C702SGGU - 547L/19.28ft³ Double Door Fridge with Black Finishing,"KSh 139,995"
"LG FH2G7QDY5 - 7kg 1200 RPM Front Load Washer, Steam - Silver","KSh 65,995"
LG MJ3965BCS - 39L INVERTER Convection NeoChef Microwave Oven,"KSh 46,995"
LG MS4295CIS - 42L INVERTER SOLO NeoChef Microwave Oven,"KSh 25,150"
LG MH8265CIS - 42L NeoChef INVERTER Gril Microwave Oven,"KSh 26,499"
LG XBOOM CJ44 - 480 Watts 2.1'' CD - Black,"KSh 28,495"
LG SJ3 - 2.1ch 300W - Sound Bar - Black,"KSh 31,495"
LG T1366NEFVF - 13 Kg Top Load Washing Machine - Silver,"KSh 72,995"
"LG XBOOM CK43, 300 Watts - Black","KSh 24,995"
"LG 86UM7580PVA - 86"" - UHD Smart Digital TV - Black.","KSh 764,995"
"LG XBOOM CK99, 5000W-RMS DJ Machine - Black","KSh 149,995"
LG ARX10 - 2300W - RMS 4.2 CH AV Receiver - Black,"KSh 103,995"
"LG 32LM630BPVB - 32"" Smart LED TV - Black","KSh 26,495"
LG DFB512FP - Inverter Direct Drive Dish Washer 14ppl - SILVER,"KSh 105,995"
"LG 43UM7340PVA, 43"" UHD Smart Digital TV - Black","KSh 49,995"
LG GC-X247CSAV Instaview Side by Side Fridge - 668L/23.59 ft³ - Platinum Silver,"KSh 299,995"
LG GC-B247SLUV - 687L/23.59 ft³ Side by Side Fridge - Platinum Silver,"KSh 199,995"
LG SL5Y- 400W - 2.1ch Sound Bar w/ DTS Virtual: X & High Resolution Audio - Black,"KSh 39,495"
LG MH6336GIB -  23L Neo Chef PRO Gril Microwave Oven - Black,"KSh 19,745"
"LG FH4G6VDGG6 - 9/5kg Front Load Washer/Dryer, Steam - Silver","KSh 102,995"
LG XBOOM CL88 - 2900 Watts - Black,"KSh 70,495"
LG GN-Y331SLBB 199L/7.03 ft³ Single Door Fridge - Shiny Steel,"KSh 43,995"
LG GL-C412RLCN - 360L/11.65 ft³ Double Door Fridge - Shiny Silver,"KSh 92,995"
LG LHD677 -1000W 4.2Ch Home Theatre System - Black,"KSh 45,495"
LG GC-J247SLUV  -668L/23.59 ft³ Side by Side Fridge - Platinum Silver DID,"KSh 241,495"
LG LHD-677 - 1000W-RMS 4.2ch DVD Sound Tower - Black,"KSh 45,495"
LG RV1329A4S - 10kg Electric Commercial Dryer - Inox,"KSh 173,495"
LG GL-F652HLHU - 471L/16.00 ft³ Double Door Fridge - Shiny Silver + Water Dispenser- Silver finishing,"KSh 115,995"
"LG F4V9RWP2E - 10.5Kg Vivace Washing Machine,AI DD Technology","KSh 123,495"
LG GC-F401ELDZ - 405/14.31ft³ Larder Upright Frige,"KSh 149,995"
"LG XBOOM CL98, 3500 Watts - Black","KSh 91,995"
LG GC-B459NLHZ - 374/13.22ft³ Bottom Freezer,"KSh 120,995"
LG RC-8066CF - 8kg Condensing Dryer - Silver,"KSh 105,995"
"LG 55NANO86VNA - 55"" SUPER UHD 4K Smart LED TV ***NEW MODEL","KSh 145,995"
LG GL-H602HLHU - 437L/15.4 ft³ Double Door Fridge - Shiny Silver,"KSh 106,995"
"LG 70UM7380PVA 70""- UHD Smart Digital TV - Black","KSh 249,995"
"LG 75UM7580PVA - 75"" 4K UHD  Smart LED TV - Black","KSh 325,995"
"LG F4V9RCP2E - 10.5/7 Kg Vivace Washer & Dryer,AI DD Technology","KSh 159,995"
"LG 65C9PVA 65"" OLED 4K TV SMART - Black","KSh 699,955"
"LG 65NANO95VNA - 65"" SUPER UHD 8K Smart LED TV NEW MODEL","KSh 406,495"
