Product_name,Product_price
"Royal 32"" HD Ready Smart LED Television - Black","KSh 15,695"
"Samsung  40'' FULL HD SMART TV, NETFLIX, YOUTUBE UA40T5300AU","KSh 31,479"
"Infinix 43”, Full HD Android TV In-built Wi-Fi - Black","KSh 28,999"
"TCL 32"" FULL HD ANDROID TV 32S6500 PLUS FREE WALL BRACKET","KSh 18,299"
"Vitron 4368FS-43'' SMART Android TV FULL HD-Netfix,Youtube Tv","KSh 25,986"
"Samsung 32T5300 32"" Smart LED Full HD TV - Black","KSh 20,590"
"StarMax 22""  HD Digital LED_TV With HDMI Output-Avi, ASF Supported","KSh 6,399"
"Royal HD3200Hk-SA 32"" Inches Smart Android Television FHD LED TV","KSh 15,690"
"Vitron 4368FS SMART ANDROID TV, NETFLIX, YOU-TUBE TV  ""43""","KSh 27,995"
"TCL S6500, 32"", Android AI Smart TV - Black","KSh 17,990"
"Syinix 43"" Smart TV,Android 9.0, Full HD 1080p,Chromecast","KSh 26,500"
"Skyworth 43E20 Frameless  ANDROID SMART TV, NETFLIX, YOUTUBE ","KSh 29,799"
"Vitron 43''SMART Android TV FULLHD,Netflix Youtube+Free WallBracket","KSh 26,597"
"Samsung 32"" 32T5300 Smart Full HD HDR TV Series 5 2020 - Black","KSh 21,695"
"Infinix X1 32"" Inch Smart AndroidTV,In-Built Wi-Fi NETFLIX,Youtube,GooglePlay","KSh 17,999"
"Vitron 4368FS,43 Inch TV SMART Android TV FULL HD-Netfix,Youtube TV","KSh 26,299"
"Vitron 43 Inch TV SMART AndroidTV FHD,Netflix,Youtube+Free TV Guard","KSh 26,999"
"Hisense 43"" Full HD Smart Frameless LED Television - Black","KSh 32,985"
"Hisense 40B6600PA, 40"" Android Full HD Smart TV","KSh 30,199"
Hisense 43A60KEN 43'' Smart Full HD Frameless LED TV - Black,"KSh 33,999"
"Hisense 55” 4K UHD SMART TV, NETFLIX, YOUTUBE, FRAMELESS, Model 2020","KSh 51,399"
"Vision Plus 43” CURVED FULL HD ANDROID TV, NETFLIX VP-8843C","KSh 34,490"
"StarMax 22"" LED BACKLIGHT-TV Digital TV","KSh 6,350"
Vitron 24” HD Digital LED TV HTC2446D,"KSh 8,599"
Sony 43W660F - 43'' Smart Full HD LED TV - NetFlix Apps,"KSh 37,890"
"Skyworth 32E10D, 32"", Super Narrow Digital  LED TV - Black","KSh 13,999"
"Vitron 4368FS-43'' SMART Android TV FULL HD-Netfix,Youtube Tv","KSh 25,990"
"LG  43” AI ThinQ FULL HD SMART TV, NETFLIX, YOUTUBE 43LM6300PVB","KSh 36,999"
"Samsung 40T5300AU - 40"" Smart Full HD LED TV - NetFlix, Youtube","KSh 31,495"
"Infinix 32” HD ANDROID TV, NETFLIX, YOUTUBE, FACEBOOK","KSh 16,890"
"Vision Plus VP8832S, 32"", Frame-less Smart Android LED TV - Black","KSh 15,999"
"Samsung 43"" 43T5300 Smart Full HD HDR TV Series 5 2020 - Black","KSh 36,995"
"Infinix 32” HD ANDROID TV, NETFLIX, YOUTUBE, PLAYSTORE","KSh 16,880"
"Vision Plus 43'' FULL HD ANDROID TV, NETFLIX, YOU-TUBE VP8843SA","KSh 27,799"
"Vision VP8850K, 50"", Frameless Bluetooth 4K Smart Android TV - Black +Free Wall Bracket","KSh 35,990"
"Vitron 43"" SMART ANDROID FULL HD TV (NETFLIX, YOUTUBE,HDMI,USB)","KSh 26,699"
"Hisense 50A7100F 50"" 4K HDR Ultra HD Smart TV - Frameless With Bluetooth","KSh 46,999"
"Royal 43""Inches SMART Android TV FHD Netfix,Youtube+ Free TV Guard","KSh 26,999"
"TCL 50P715 50"" SMART 4K ANDROID TV, 2020 Model","KSh 49,490"
"Syinix 43"" Inches Full HD Smart Android TV A20 Series +Free TV Guard And Bracket","KSh 28,999"
